GEOID,2014_Filings,2015_Filings,2016_Filings,Total_Filings,2014_Evictions,2015_Evictions,2016_Evictions,Total_Evictions,Rate_2014,Rate_2015,Rate_2016,eviction-rate
12057011301,10,4,14,28,4,1,8,13,0.4,0.25,0.571428571,0.464285714
12057011303,15,24,14,53,7,12,5,24,0.466666667,0.5,0.357142857,0.452830189
12057011304,25,50,38,113,12,19,22,53,0.48,0.38,0.578947368,0.469026549
12057011407,6,7,8,21,3,4,6,13,0.5,0.571428571,0.75,0.619047619
12057011408,16,11,24,51,9,8,14,31,0.5625,0.727272727,0.583333333,0.607843137
12057011409,9,1,7,17,8,0,2,10,0.888888889,0,0.285714286,0.588235294
12057011410,22,29,21,72,2,14,11,27,0.090909091,0.482758621,0.523809524,0.375
12057011411,2,3,4,9,0,2,2,4,0,0.666666667,0.5,0.444444444
12057011412,24,38,31,93,13,19,17,49,0.541666667,0.5,0.548387097,0.52688172
12057011413,22,6,17,45,11,2,9,22,0.5,0.333333333,0.529411765,0.488888889
12057011414,41,68,88,197,19,30,31,80,0.463414634,0.441176471,0.352272727,0.406091371
12057011415,13,13,11,37,8,8,8,24,0.615384615,0.615384615,0.727272727,0.648648649
12057011416,30,39,32,101,13,21,20,54,0.433333333,0.538461538,0.625,0.534653465
12057011417,37,35,42,114,24,17,26,67,0.648648649,0.485714286,0.619047619,0.587719298
12057011418,13,22,22,57,8,9,8,25,0.615384615,0.409090909,0.363636364,0.438596491
12057011504,1,1,0,2,1,1,0,2,1,1,#DIV/0!,1
12057011506,25,32,32,89,12,16,14,42,0.48,0.5,0.4375,0.471910112
12057011507,24,31,14,69,12,10,7,29,0.5,0.322580645,0.5,0.420289855
12057011509,1,8,1,10,1,3,0,4,1,0.375,0,0.4
12057011510,2,7,10,19,1,2,3,6,0.5,0.285714286,0.3,0.315789474
12057011512,2,6,3,11,1,3,1,5,0.5,0.5,0.333333333,0.454545455
12057011514,8,11,16,35,4,3,9,16,0.5,0.272727273,0.5625,0.457142857
12057011515,4,13,7,24,3,6,2,11,0.75,0.461538462,0.285714286,0.458333333
12057011516,9,16,12,37,6,8,6,20,0.666666667,0.5,0.5,0.540540541
12057011517,8,8,11,27,5,3,5,13,0.625,0.375,0.454545455,0.481481481
12057011518,2,5,6,13,1,3,4,8,0.5,0.6,0.666666667,0.615384615
12057011519,0,0,1,1,0,0,0,0,#DIV/0!,#DIV/0!,0,0
